stars,text
1,"There was hair in the food. Not just 1 but 2 in the same Bhel Puri dish.  The whole experience was pretty bad. There is no indication of how you order your food and when you finally figure it out the food does not taste good. We checked sodas on the order sheet and when no sodas showed up we asked if we were supposed to go and find our own sodas from the front of the store and were told that that was the case.  Also the guy at the counter is down right dismissive.  Pani Puri was OK Papdi Chaat - boring, no flavor Bhel Puri - boring and no flavor before we found the hairs  Not worth the trip."
1,"It's a supermarket.  I just go in buy what I need and get out.  It's convenient that there's a wells fargo in there, but there's one across the street as well.    To the negative experience..... My sister was speaking to my niece, but not in english.  Some caucasian lady walks by and rudely says, ""Can't you speak english?""  WTF?!?  Is this taking SB 1070 in your own hands?  It's like you're trying to make every race hate you even more.  I will run into this arrogance wherever I go.  I'm not done yet.  Keep on reading.... My niece had a dollar in her hand and was pointing at the lottery scratcher machine.  We know you have to be of a certain age to play it.  One of the employees there rushes over and in a loud voice tells me niece she can't play it.  Calm down.  Kids are just innocent and don't need this extra verbal abuse in their lives.  Don't you have something better to do like restock the shelves?  Swear... Racial profiling."
1,"I play squash racquet's, a sport favored by the east coast ""elites"" from them Ivy League schools, those snooty Britishers and the Pakistani leisure class:)   Why they let me play, I'll never know:)  Last evening, we had a little tourney in which a group of us from the Village traveled to the outer reaches of Tempe to play a group from Lifetime Fitness:)  It was a jolly good, show, ever so much fun and our Village group gave the Lifetime group a bit of a ""Rodgering"":)  So it was with happy hearts and high spirits that we headed down the street to the post tourney repast at Skip & Jan's...let me start by saying that the Lifetime group picked this place, and it's almost like they knew they were going to lose and wanted to select a venue that would be the grimiest, greasiest, grubbiest, grossest spot to try to eat...they succeeded:)  Where to start...I know...the parking lot:)  When we arrived, the total Kelly Blue Book value of the 50-60 cars in the parking lot was about $832...we raised that by several orders of magnitude, just by driving in...this parking lot hasn't seen a lot of traffic from the Mercedes/BMW/Lexus/Jaguar crowd (and may never again:)  After I safely parked a block or 2 away, I went inside and took in the look and feel of S&J...crappy old wood paneling...tables and chairs from a circa 1955 high school cafeteria...an intriguing mix of flat panel TV's, regular TV's and OTB results screens (yeah, you can bet the ponies here...the sport of Kings, in a slightly less than ""regal"" atmosphere:)  They must have 20-25 pool tables...faded felt...and a whole bunch of people playing pool (and frankly looking like they weren't enjoying themselves...extremely tight and serious expressions on the faces of the people playing and watching...aren't games supposed to be fun? :-)...I suspect there was gambling going on:)  The smell in S&J can only be described as ""extreme humanity""...the place smelled like it has seen a century's worth of spilled beer, cigarette smoke, BO, vomit, urine, spoiled food and every other aroma that humans create for themselves...remarkable, given the fact that this place can't have been here for more than a few years...how did they do that so quickly? :-)  S&J has menus, they have some sort of kitchen, they have Jagermeister on ""tap"", they have a bunch of beers on tap and they had a buffet (or ""boofay"" for my friend Ryan C) set up for our group.  It was supposed to be a Taco Bar:)  S&J provided a table full of taco ""fixin's""...the centerpiece of which was the taco meat hot tray...Holy Crap, was that disgusting! :-(  They told us it was ground beef, but I know my beef, and I don't think this was it...this was ground ""creature""...possibly some sort of unfortunate non-distinct animal which happened to be near the kitchen when duty called.  I kid, of course...as far as I know, this was indeed, ""beef""...just not very good ""beef"":(  The hot tray holding the ""meat"" looked like a relief map of the Hawaiian Islands...small mountains of ""meat"" rising out of the ocean of brown/orange grease that was the real body of the dish:(  But, I was starving (a banana for breakfast and nothing else) so I tried to make a taco.  I decided to forgo the slotted spoon that everyone was trying to use to fish some meat out of the soupy brine, and use some tongs instead...my idea was to try to squeeze as much grease out of the concoction as possible...I was sort of successful, but in doing so, I probably squeezed any flavor out as well:(  I got back to the table and tried a bite...not good...I added several shakes of Cholla and tried another bite...and that was that:(  One of my buddies had decided to forgo the mystery meat tacos and ordered wings from the menu and offered me one...I'm not sure what the deal with the wings was, but the wing I tried seemed to be boiled (no, not ""broiled""...boiled) and then dipped in buffalo sauce...not crispy, just wet...all the way through:)  Then they announced that Karaoke was going to start soon...and that was enough for me:(  Adding amateur singing to this tableau would have just been too much:)  Still, it's not all bad news...the tires and wheels were still on my car when I was ready to leave...I didn't become immediately ill (although I had kind of a rough morning, this morning).  They say shared adversity can make teams grow together, so I think I should thank S&J for making the Village Squash group nearly invincible:)"
1,"I love Saddle Ranch for its casual night time festivities (including watching people ride the mechanical bull hehehe), but I cannot ignore the fact that the food was disgusting!  When I think of my meal this past Friday night, I think of two words: dry and cold. The spinach artichoke dip was just okay - a bit on the dry side and not very cheesy. The onion rings were just okay was well as the batter reminded me of the chicken nuggets at McDonald's, maybe even worse. The BBQ burger (turkey patty) was dry and tasteless as was the bacon. Really? It must take true talent to cook bacon tasteless. There are a few things that the menu has going for itself - a few very unique and fun desserts and drinks that I have yet to see elsewhere. I am fond of the giant pile of cotton candy and, though I'm not much of a beer drinker, the beer tower looks pretty badass.  For me, I came and will continue to come for the fun atmosphere, but I will definitely be staying away from the grub. Adios, cowboy."
1,"Ok, so I have to share my morning experience. But first I must start off by saying this: I'm no moron. Honest.   So, this morning I stopped for gas. My tank was getting dangerously low and there was no way I'd make it to work. That's okay, for I allotted time this morning for re-filling my tank. From my casa, I turned East on Indian School, vaguely remembering there's a Quick Trip nearby. Perfect. I had stopped there before.   But it wasn't a Quick Trip I saw at the corner of Central and Indian School. Not wanting to risk running out of gas, I opted to stop here, at this ampm station.   I pulled up to the closest gas tank, got out of my car, took off my gas cap and reached for the gas nozzle. Only then I discovered there was no pay-at-the-pump option. The short notice on the pump said to select my grade and start filling. ""Wow,"" I thought, ""It's so odd for a station to trust people - especially in this area - to not drive off without paying.""   So, I followed the instructions, but nothing happened. I kept hitting the grade button. It kept beeping back at me. Still nothing. To top it off (no pun intended), the nozzle was wrapped in this huge rubber tube thing that compressed when I applied pressure to the handle. I had never seen anything like it.   Thinking my particular pump was fuct up, I pulled my car up to the next one. That's when I saw it - this strange machine, like an Amtrack ticket dispenser. I approached with curiously. That's when I realized. You swipe your card at this central machine (or deposit cash, if that's your preference) and then go back to your pump. Ah-ha. This is how this station works. So, I did just that. I punched in my gas pump number (4) and went back to my car to re-fill the tank. Already annoyed at this point, I figured I'd pump enough gas to get me through the next couple of days.   Only, it wasn't pumping. The long rubber thingy was hindering my ability to hook the nozzle up to my gas tank. UGH. So, that's when I flexed my muscles and applied enough pressure to squeeze out $12 worth of gas. Then I re-hooked the nozzle on its perch and walked back to the strange machine for my receipt - it told me to do so when I swiped my card. Only, no receipt came out. I punched the keypad with defiance and walked off.   Stupid ampm station. Since when does any gas station benefit from being different? I'm so used to pay-at-the-pump; you just swipe your card, select your grade, pump your gas, grab your receipt and go. Quick Trip doesn't torment me like this. There is no rubber nozzle thingy in my way. Grr. Screw this. I'm never going back there again.    (Disclaimer: Said writer of review graduated high school with a 3.98 G.P.A  and attended a well accredited college of her choice, where you went on to graduate with honors, having made the Dean's and President's Honor roll more than once. Said writer of review also has street smarts and is able to saddle and ride a horse, do unimaginable cool things with a twisty tie and throw some mean Muay Thai elbows.)"
1,"This place was the worst place to EVER live! I lived here from Aug 2010 to may 2011, i was always in the office see when the grates would be fixed?? the office always gave me the run around very rude. You would think after the gun shoots, assaults, and car break ins that they would fix the gates but nope and to this day they still aren't fixed. When we moved in they said they would be fixed in a week and they lied.  Also the gym is huge but NONE of the equipment works! living here was SO gross! nothing worked our neighbors are Mexican thugs doing drug cat calling at anything that walks it was gross. I hated living here!    But the worst part was a few weeks ago we get a call from collections saying we owe Scottsdale Springs $300 bucks over 10 months after moving out! I called them up like wtf, and they were SO rude said too bad pay it or your credit score will hurt, we even gave a fowarding address and we NEVER got a letter in the mail about any damages. They claim we never gave them a forwarding address which is bull.   I really hope people read these reviews i would hate to see anyone else scammed by this god awful company!"
1,"One stop has one goal and that is to get the $80. diagnosis fee and split.  Francisco told me i needed to spend over $1300. for parts the manufacturer only charges $316 for. Stay away! I intend to file a complaint with the Attorney Generals office today, hopefully they will stop this nonsense."
1,"Do not go to this car wash. I dropped my kids off at choir and thought I'd run in for a quick car wash. Oh no! They locked my keys in the car. I couldn't get On-Star to unlock my Suburban because it was under a huge canopy and couldn't get a signal. Instead of calling a locksmith, the car washers tried and tried to get in through the window. Thankfully my husband was able to leave work early, go retrieve the kids from choir practice, and then come rescue me at the car wash with a spare set of keys. I was trapped there over an hour!  The manager then had the audacity to get mad at me because I was upset at their incompetence. They didn't even comp the car wash!  If you go here, don't pay for your car wash until your car is done!"
1,"What ever you do don't waste your money here.  I am not the person who likes to send food back, in fact I hate to do it.  I had no choice here, this was by far the worst mexican food I have eaten.  The food has such a horrible after taste.  I not only hated my meal but tried my boyfriends as well and it was still terrible.  The service compares to the food, we waited forvever just for a server to come over and greet us.  I wouldn't even recommend this place to my enemies."
1,"And then it all changed...  I think this is my very first review that has been demoted to 1 star after being on the coveted 5 star for a long time.   So, where do I start. After feeling dog sick for a few days, I finally decided to ""walk-in"" to this place because that's what they do now supposedly. They take walk in patients who are seen by the NP. I signed in at 8:20 and was not called in the back until 10:00am. Then I waited another 35 minutes for the NP to come in and see me. By the time everything was over, it was 11:00am before I walked out of this place.   I asked to talk to Brenda, the office manager and was brushed off twice. Supposedly she is going to call me but would not see me when i was there for two and a half hours! I guess she didn't have the balls to face me at that point. What could she have said really?   The front desk lady did a screw up and let another walk in patient go before me even though he came 10 minutes after I had already signed in. When I pointed that out, she said he came before me and I had to show her the sign in chart. Instead of apologizing, she just kept doing what she was busy doing without acknowledging her mistake.   When the NP did come see me, she missed a couple of key things in my chart that she totally should have asked me about. I was quite appalled. I had to point out a deathly allergy that I have even though it should already be in my chart.   My final analysis: In my opinion, don't go here if your health and time are valuable to you."
1,PIECE OF **** manager wouldn't put air conditioning on yesterday. It was 90. They just lost alot of business.
1,"As I promised myself, I'd go back again to try it again. Yyyeeaahhhh...sooooo....the food is still not good. I got the mongolian beef and it's like ""wha? really? is this IRL?""   I'm a chinese food kind of a fan, this restaurant, I'm not a fan of."
1,"Totally excited to try this place out, my grandparents, my mom and I (4 of us) came here for some Korean food. It wasn't too busy; just pairs of people from nearby offices coming in and out.   Unlike other Korean restaurants, their lunch special selection is very limited. Special A  consists of a sushi roll with a soda, special B = teriyaki beef/chicken (no soda), or special C, Korean BBQ Spicy Chicken.   As we were looking at the ""lunch special"" board, the lady behind the counter insisted that we should look at their full price menu instead. Here comes the awkward part: she then asked my mom ""are you Chinese?"" Even though she is, my mum looked at me all puzzled as in ""what does that mean?"" The lady proceeded by pointing at the ""seafood pancake"" section on the menu and saying ""I don't know why but you Chinese like this pancake a lot."" Good thing my mom didn't hear what she said.. or else...   So we got the Spicy Chicken lunch special ($6.99), a bulgogi ($6.99), and a beef yakisoba ($7.19). The cool thing about this place is that it has a mini ""kimchi"" buffet bar, with trays of marinated tofu, potato, bean sprout, kimchi, broccoli and some other vegetables. It also has this delicious house special hot sauce.   By the time we finished a dish of kimchi, the food came, so it didn't take long. The spicy chicken, came in a bowl about the size of an instant-noodle bowl (but slightly deeper), was tender, with rice underneath it. The chicken was definitely marinated well; however, the last couple of pieces had tendons and big chunks of fat... what a bad way to end it. The bulgogi also came in a bowl, with rice underneath. The beef was definitely not marinated fully. The color was super light and the beef was close to tasteless. The biggest disappointment, food-wise, was the beef yakisoba. The noodles, occupying most of the Styrofoam lunch box, were sweet. Then there was an ice-cream scoop of rice, topped with 3 pieces, I kid you not, THREE pieces of dog-tag-sized, super-dry meat.   In the end, we just decided to bring the barely-touched yakisoba home for my younger brother (well, teenage boys tend to eat everything...). While my mom transfered the noodles to the plastic bowl (since the Styrofoam box was lidless), I went to ask for a plastic cover. This is the best part: the same lady, stared at me, pointed at the salad bar and said ""you can't take that home"". I thought there was a miscommunication, so I asked again for a lid for the noodles. Again, she pointed at the salad bar and said ""you are not allowed to take the kimchi home"". Wow seriously? Just b/c my grandparents are Chinese you assumed we were stashing kimchi in a bowl and trying to sneak it out? ""Look, I just want to take my noodles home, ok?"" She hesitantly gave me a lid.  ""Hey, hey you. we chineness peple no steal kimchi becuz Confucius say 'no stealing kimchi'""... only if I said that to her face...  Oh, and when we got home, my brother, aka our food dumpster, took a bite of the yakisoba and never touched it again.    Conclusion: If you want amazing Korean food and friendly customer service, please just go to Chodang. Chodang is WAYYY BETTER, hands down"
1,"Donuts are really good, if they have any when you get there!!!  Went in on a Tuesday morning at 1030, and they only had a total of 10 donuts. Drove out of my way to go there and still ended up at Dunkin Donuts. Very disappointed!!"
1,"I went today to meet my daughter for lunch.  We are both big sushi enthusiasts.  The interior and atmosphere was beautiful.  Well appointed. The service was excellent.  We ordered edamame, was good...nothing to rave about.  Not much you can do to mess that up.  Drinks were well poured but exspensive for what you got.  Ordered five different sushi rolls. All five were bland, not much flavor and stale.  The fish was not fresh. Paid $12 for a soft shell crap roll and it tasted days old.  Will not go back. Did here they have good pizza and a happy hour at three.  My daughter says to give it another try.  We'll see... I'll let you know if I do."
1,"Very loud, crowded and quite unpleasant. I felt very cramped and the environment was very uncomfortable."
1,"i called them and they wanted to charge $30 for fingerprints!!!!!  What a joke.  I found a place on the other side of the air park who did it for $10.  Caveat Emptor!  If if could give them a zero rating, I would have.  On the other side of the airpark off of Greenway-Hayden loop is Global Pi Security.  $10 for prints. Their address is 7807 East Greenway road, suite 9, Scottsdale, Az.  globalpi-security (dot) com.  Good luck."
1,Went there first thing thing this morning. Ordered 2 simple sandwiches. Took over 35 minutes to make. 6 workers lounging around. Completely ignored. Totally disgusted with their service. Overpriced. Food okay and felt worthless when I left
1,"Went last week, and ordered a dozen variety. I didn't care for any of them, very dry, the frosting wasn't very good,even my 9 yr old daughter spit her cupcake out!"
1,"Love the idea - vegan Mexican. Have tried to eat there twice. Both times checked their FB page for hours, both times they were closed. Called their phone number, no one answered. No sign, no explanation on FB. Pathetic."
1,"I dont understand how a second restaurant was opened on Tatum . My husband and gave these place too many chances and wach time the food was not impressive. The margaritas come from a stolen recipe from La Pinata Nueva , but too bad they didnt bring the recipes with them. I hope they get it "" that maybe if you put alittle quality in the food people will come back""."
1,"Don't bother with this place.  I had never been here, my husband and I decided to pick up some food to take home.  We ordered a shrimp tempura appetizer, an assorted tempura appetizer, a lobster appetizer, and yakisoba.  When we got home the order was totally wrong. Instead of lobster we were given mussels (which were gross), instead of assorted tempura and shrimp tempura we only got assorted tempura with 2... that's right only 2 shrimp in the whole mix.  The yakisoba was the only part of the order they got right and it was not that great, pretty bland.  I love Japanese food and I was really excited to find a place near by and while we were waiting for our order we were excitedly planning to come back and have their sushi, but after this complete mix up and poor quality food there is no way I would trust them with anything raw.  Never going back, such a complete disappointment."
1,"I will never know what the food tastes like because they were so so rude, I will not go back.  We came in and were given a table, menus were practically thrown at us.  And then we waited, and waited and waited.  We asked a woman working there, and she apparently did not speak English and indicated a man at the front would help us.  But he was too busy talking.  We got up and left.  No one even said a word when we left."
1,"I do not like this KFC ...or any really for that matter. Every time I have been here the place is filthy. I know they remolded the place and I have not been since then, so I am not sure if the conditions are the same.  The food is just not good in any way anymore. Not that it was ever great, but you could get some decent chicken and some sides and be content. What the hell have they done to the mac & cheese? It is so gross..the color is just not appealing and the taste is worse. Food at this place has been served under temperature enough times to keep me from returning."
1,Poor service-small portions-pricey
1,I got my nails done there last Thursday for the first and last time. I would never ever go back there. The man who did my nails burnt two of my fingers really bad. The place was dirty and messy and talk about noisy he asked me to many personal questions. To top it off he answered his cell phone and talked on it about 10mins all load and on speaker phone . So rude and bad customer service. It might be a little cheaper there but as the saying goes u get what u pay for!!!!!!!
1,"I'm sorry to be what seems to be the lone one star review.  Either I got there on the worst day in their history, or everyone drank the Koolaid, or I just have different expectations and taste buds. It seems like a great idea.  It's a build your own burger joint, $7.00 gets you a cooked to order burger with one cheese, up to 4 toppings, and 2 sauces with fries or onion rings-or some other choices.  They also claim that the beef is local, hormone free, etcetera....  I chose a rare burger with American, grilled onions, sauteed mushrooms. tomato and lettuce, with mayo and mustard on a potato bun.  I added bacon for a dollar.  First, let me point out that if you are in a hurry, DON'T GO HERE TO EAT.  I waited exactly 39 minutes for my food. This would not be a big deal if: 1.  I had been warned before they ran my credit card--what if I only had 30 minutes for lunch?? 2. They had places to sit but it's tiny and full. 3.  They had magazines, a jukebox, ANYTHING to entertain you for 39 minutes.  You can't even get your drink early to sip on that.  At the 30 minute mark, I'm ready to eat cardboard with a little ketchup on it, so maybe they make you wait so everything tastes even better? Anyway, before my burger comes up, I notice that the lady behind the counter is saying that the orders overwhelmed the kitchen.  I look in the kitchen---they have ONE GUY TRYING TO DO ALL THIS??????   He'd better be getting a share of the profits!!!!!  Now I'm jsut feeling really bad for this guy back there.  I finally get my burger!  YAY!!  I'm SO excited!  All those 4 and 5 star reviews!  I take a bite and....the patty shoots out the other side of the bun like it had been shot out of a cannon. WTH?  I look at the patty.  It's clean as a whistle. I mean there is no mayo or mustard or cheese smeared on the patty.  I turn it over and it slides out of my fingers back into the basket.  The other side is clean too.  The freakin' burger was so greasy, it slid all over the place!  Then a greasy glop of what must have  been the mushrooms and onions slid out.  Still not seeing any cheese, mayo, or mustard anywhere.  Just oil.  Tons and tons of oil.  I open the bun,  On one side is a heavily oiled slick of lettuce glued to the bun by (I am guessing) a slice of cheese.  The other side of the bun has some mayo and mustard residue--and more oil.  I'm grossed out, but hungry.  I take a bite.  It's not rare,  It's well done and oddly, tastes very faintly of liver.  BTW, remember the bacon I paid a dollar for?  Not there.  I'm really puzzled that instead of cheese. or beef, or SOMETHING, I just taste that faint livery taste. So I take another bite.There isn't even any salt or pepper, or anything on the burger patty.  This is perhaps, the worst grade of meat available for human consumption.  I take a third bite because that second bite brought back a memory of when I worked for a meat company here in town.  Now I recognize the flavor.  I'm not saying that what I ate that day at Two Hippies was old dairy cow, but that's EXACTLY what it tasted like.  At this point, I turn to the fries.  The are shriveled and DARK and taste like they've been fried and then microwaved.  I couldn't get out of there fast enough!  Forget my danged dollar!  just get me in the car!  Exactly one hour and 20 minutes later, I had vicious diarrhea  I haven't had that trouble even with eating junk food at the fair!  No.  NO.  A thousand times NO!  Red Robin is my next burger stop.  Period"
1,"I used to love Banana Republic.  I stopped by at lunch to buy a few outfits, I wasted quite a bit of time in this store...to an frazzeling degree.  The choppy layout of the new store is annoying.  The clothing line changed drastically so you look like you just came from an overpriced (and cold) beach.  I was looking to dress sharp and professional, not wrinkled and hap-hazzard.  I wanted short sleeves, not flimsy spagetti straps, long sleeved blouses and SWEATERS (hello..its JUNE...and ARIZONA.)  Banana Republic's new format and collection is a huge FAIL."
1,"I can overcome the hipster sneer and accept that I am an uncool blemish in a world full of cut-off corduroys and patterned leggings. What I cannot and will not get over is an unapologetic staff whose epic error led to me breaking 5 years of meatless eating because of an order mishap.  I ordered the red pepper tomato quiche. After 20 minutes waiting for the quiche to warm in what appeared to be a 200 degree oven, I double checked to make sure my name was on the plate at the counter. When I dug in for the first bite, a wave of nausea and panic washed over my after realizing this was a piece of the bacon spinach quiche. I returned to the counter and explained that I had ordered the vegetarian quiche, and the chic who took my order asked the chic behind the counter which one she served, because she was sure she got it right. The chic in the kitchen said she put them out in the order she got them. Then they spent some time looking around in confusion and murmuring a bit,  meanwhile all the quiche had been sold. So the counter chic simply turned to me and send, ""well we don't have anymore of that one.""  Thanks. I told her I was more upset about the fact that I had just put bacon in my mouth after 5 years of no meat than there being no more quiche. She did give me my money back, but no one apologized or offered me any recompense. I'm over you being cooler than me, but I'm not over you having no soul."
